url,label,source
https://71wxz.vo3xiran.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,1,urlhaus
http://115.55.129.229:54199/i,1,urlhaus
https://wkodj.vo3xiran.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,1,urlhaus
http://123.14.159.153:40022/bin.sh,1,urlhaus
http://42.179.152.194:37784/bin.sh,1,urlhaus
http://221.14.173.8:42365/i,1,urlhaus
https://dih0t.drumoxel.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,1,urlhaus
http://115.55.129.229:54199/bin.sh,1,urlhaus
http://123.10.25.133:44346/i,1,urlhaus
http://110.37.26.48:58182/bin.sh,1,urlhaus
https://meta-tru5.drumoxel.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,1,urlhaus
http://182.119.69.230:34470/i,1,urlhaus
http://182.121.61.159:54517/i,1,urlhaus
http://61.52.197.8:53251/bin.sh,1,urlhaus
https://nisjdefz.pra7vexal.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,1,urlhaus
http://110.36.80.169:36365/i,1,urlhaus
http://221.14.173.8:42365/bin.sh,1,urlhaus
https://c0ysh.pra7vexal.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,1,urlhaus
http://175.147.202.60:35666/i,1,urlhaus
http://182.119.69.230:34470/bin.sh,1,urlhaus
https://x79h.xeltronix.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,1,urlhaus
https://vend0r-crest.xeltronix.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,1,urlhaus
http://182.121.61.159:54517/bin.sh,1,urlhaus
http://36.84.113.62:36160/bin.sh,1,urlhaus
https://15cqw.sanctua-ryunt.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,1,urlhaus
http://42.224.54.166:36078/bin.sh,1,urlhaus
http://125.45.40.209:53307/i,1,urlhaus
https://wolorch.sanctua-ryunt.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,1,urlhaus
http://112.248.187.57:51040/i,1,urlhaus
http://175.147.202.60:35666/bin.sh,1,urlhaus
https://daernon-grid.sanctua-ryunt.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,1,urlhaus
https://cryeast.sanctua-ryunt.in.net/05fe317c-0981-4de2-bc8a-930d369db441/ck-3d80df5d12cdfe6450a782fc87bf66b444.google,1,urlhaus
http://123.11.79.113:35702/i,1,urlhaus
http://110.36.80.169:36365/bin.sh,1,urlhaus
http://125.45.40.209:53307/bin.sh,1,urlhaus
